fecha,trm_cop_usd,trm_volatilidad,oni_anomalia,enso_fase
2012-01-01,1842.6505555555555,33.73992127893135,-0.72,La Nina
2012-02-01,1783.7450000000001,9.36346904899995,-0.57,La Nina
2012-03-01,1767.5118181818182,9.208696529633974,-0.46,Neutral
2012-04-01,1774.1172222222222,8.116216015995397,-0.36,Neutral
2012-05-01,1790.9134999999999,32.18788204065547,-0.17,Neutral
2012-06-01,1792.2314999999999,19.407140919883254,0.06,Neutral
2012-07-01,1785.141111111111,7.858660182835299,0.3,Neutral
2012-08-01,1806.340952380952,17.010609308535066,0.41,Neutral
2012-09-01,1801.9479999999999,9.150913443045201,0.41,Neutral
2012-10-01,1805.6735,11.797499411672828,0.31,Neutral
2012-11-01,1820.5263157894738,4.9915976183608315,0.13,Neutral
2012-12-01,1793.9389999999999,14.538767014977065,-0.1,Neutral
2013-01-01,1770.2257894736842,7.243942539030194,-0.29,Neutral
2013-02-01,1791.794210526316,12.136659029471986,-0.29,Neutral
2013-03-01,1811.0663157894737,10.361310626302863,-0.21,Neutral
2013-04-01,1829.8504761904762,9.391012978476024,-0.19,Neutral
2013-05-01,1848.9240000000002,22.713537210914133,-0.27,Neutral
2013-06-01,1910.5221052631578,18.6669093969181,-0.34,Neutral
2013-07-01,1898.4265,17.7155204849484,-0.35,Neutral
2013-08-01,1905.1685714285716,24.132322782051823,-0.28,Neutral
2013-09-01,1917.7094736842107,22.066700773811558,-0.21,Neutral
2013-10-01,1885.9145454545455,6.396807036306291,-0.13,Neutral
2013-11-01,1922.333157894737,11.292638729441506,-0.1,Neutral
2013-12-01,1934.187,7.605117459904716,-0.15,Neutral
2014-01-01,1962.3073684210528,32.26357558233009,-0.28,Neutral
2014-02-01,2041.4478947368423,9.871111937223318,-0.32,Neutral
2014-03-01,2022.193,30.730692201086097,-0.14,Neutral
2014-04-01,1939.2665000000002,15.61281871277248,0.15,Neutral
2014-05-01,1915.2238095238095,9.908746376908804,0.31,Neutral
2014-06-01,1887.0155555555555,7.176997751986969,0.23,Neutral
2014-07-01,1857.764285714286,8.871554300926434,0.1,Neutral
2014-08-01,1900.0520000000001,21.836260427868304,0.11,Neutral
2014-09-01,1976.613,31.533875035219413,0.28,Neutral
2014-10-01,2047.0313636363637,16.267397806203736,0.54,El Nino
2014-11-01,2131.0788235294117,39.93190686693307,0.71,El Nino
2014-12-01,2351.1295,54.75169533304072,0.77,El Nino
2015-01-01,2400.9726315789476,28.667758281949343,0.69,El Nino
2015-02-01,2425.6494736842105,47.16347910002724,0.61,El Nino
2015-03-01,2591.058,49.46028897270179,0.65,El Nino
2015-04-01,2495.364,54.02110127679643,0.81,El Nino
2015-05-01,2440.853157894737,71.08441187557165,1.02,El Nino
2015-06-01,2556.116666666667,25.031880143717007,1.25,El Nino
2015-07-01,2731.903181818182,86.64937959750212,1.57,El Nino
2015-08-01,3023.2894736842104,117.41633605222843,1.91,El Nino
2015-09-01,3071.19,54.34958297908093,2.21,El Nino
2015-10-01,2936.030909090909,57.70122074379953,2.47,El Nino
2015-11-01,3000.20625,106.4452393095466,2.64,El Nino
2015-12-01,3244.505238095238,80.48495049504882,2.75,El Nino
2016-01-01,3291.136111111111,55.376899743154716,2.63,El Nino
