anno_vigencia,sociedad_portuaria,sum_importacion,sum_exportacion,sum_transbordo
2018,COMPANIA DE PUERTOS ASOCIADOS S.A.,889594,0,0
2019,COMPANIA DE PUERTOS ASOCIADOS S.A.,908207,0,0
2020,COMPANIA DE PUERTOS ASOCIADOS S.A.,732821,0,0
2021,COMPANIA DE PUERTOS ASOCIADOS S.A.,662847,0,0
2022,COMPANIA DE PUERTOS ASOCIADOS S.A.,697953,0,0
2023,COMPANIA DE PUERTOS ASOCIADOS S.A.,661395,0,0
2024,COMPANIA DE PUERTOS ASOCIADOS S.A.,660387,0,0
2025,COMPANIA DE PUERTOS ASOCIADOS S.A.,1070395,0,0
2018,GRUPO PORTUARIO S.A,407824,847654,0
2019,GRUPO PORTUARIO S.A,892456,456788,0
2020,GRUPO PORTUARIO S.A,779819,695095,0
2021,GRUPO PORTUARIO S.A,831614,579384,0
2022,GRUPO PORTUARIO S.A,752250,842770,0
2023,GRUPO PORTUARIO S.A,783810,1067136,0
2024,GRUPO PORTUARIO S.A,924362,561490,0
2025,GRUPO PORTUARIO S.A,3630,0,0
2018,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,8407888,2112019,6330087
2019,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,6824816,2058474,2455891
2020,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,6149053,1726055,445255
2021,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,6814766,1331029,580035
2022,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,7491011,1131908,677613
2023,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,6204926,1177119,583210
2024,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,6467851,1303208,1109863
2025,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,9102825,1415899,1126110
2026,SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,4936717,704732,388642
2018,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1359528,630991,976981
2019,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1379797,740378,453499
2020,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1458339,831253,200146
2021,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1517832,714114,170956
2022,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1917805,742296,172187
2023,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1841996,762387,213450
2024,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,2143851,646883,215004
2025,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,2431920,546110,234377
2026,SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,1168084,262495,77539
2018,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3076488,493099,0
2019,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3862437,716188,0
2020,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3240371,955564,0
2021,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3656936,1001388,0
2022,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3376934,1546898,0
2023,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,3749374,1610569,0
2024,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,4503583,1935930,0
2025,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,4757140,2052256,0
2026,SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,2313443,982058,0
