sociedad_portuaria,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GENERAL,9665453,1045361,91977
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GENERAL,2324339,142662,0
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL LIQUIDO,83576,0,0
SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,CONTENEDORES,15219139,5876907,2714139
GRUPO PORTUARIO S.A,CARBON AL GRANEL,75493,5050317,0
SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL LIQUIDO,4351208,320383,0
SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,GRANEL SOLIDO DIFER. DE CARBON,28629575,311592,7179
COMPANIA DE PUERTOS ASOCIADOS S.A.,GRANEL SOLIDO DIFER. DE CARBON,6283599,0,0
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CONTENEDORES,22009346,7842768,0
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,CARBON AL GRANEL,863897,2429091,0
SOCIEDAD PORTUARIA TERMINAL DE CONTENEDORES DE BUENAVENTURA S.A.,GENERAL,13,0,0
SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A,CONTENEDORES,19753617,11283107,13597550
SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.,GRANEL SOLIDO DIFER. DE CARBON,7255548,879429,0
GRUPO PORTUARIO S.A,GRANEL SOLIDO DIFER. DE CARBON,5300272,0,0
