anno_vigencia,mes_vigencia,tipo_carga,sum_importacion,sum_exportacion,sum_transbordo
2018,1,CARBON AL GRANEL,0,82551,0
2018,1,CONTENEDORES,461812,203833,789375
2018,1,GENERAL,316939,34581,0
2018,1,GRANEL LIQUIDO,18609,0,0
2018,1,GRANEL SOLIDO DIFER. DE CARBON,399782,34464,0
2018,2,CARBON AL GRANEL,4956,74449,0
2018,2,CONTENEDORES,391527,219845,690389
2018,2,GENERAL,295257,133,0
2018,2,GRANEL LIQUIDO,41813,0,0
2018,2,GRANEL SOLIDO DIFER. DE CARBON,355164,0,0
2018,3,CARBON AL GRANEL,81892,110078,0
2018,3,CONTENEDORES,394428,208214,582161
2018,3,GENERAL,75933,18,0
2018,3,GRANEL SOLIDO DIFER. DE CARBON,433731,0,0
2018,4,CARBON AL GRANEL,0,74116,0
2018,4,CONTENEDORES,435671,234094,697096
2018,4,GENERAL,100385,125,0
2018,4,GRANEL LIQUIDO,12459,0,0
2018,4,GRANEL SOLIDO DIFER. DE CARBON,593550,0,0
2018,5,CARBON AL GRANEL,26001,40178,0
2018,5,CONTENEDORES,499256,233712,741223
2018,5,GENERAL,87173,53,0
2018,5,GRANEL LIQUIDO,39803,0,0
2018,5,GRANEL SOLIDO DIFER. DE CARBON,523117,0,0
2018,6,CARBON AL GRANEL,0,55000,0
2018,6,CONTENEDORES,473022,242423,609889
2018,6,GENERAL,91947,11,0
2018,6,GRANEL LIQUIDO,31757,0,0
2018,6,GRANEL SOLIDO DIFER. DE CARBON,336076,0,0
2018,7,CARBON AL GRANEL,0,124000,0
2018,7,CONTENEDORES,518574,265574,522917
2018,7,GENERAL,47349,128,78
2018,7,GRANEL LIQUIDO,87124,0,0
2018,7,GRANEL SOLIDO DIFER. DE CARBON,547801,0,0
2018,8,CARBON AL GRANEL,0,84551,0
2018,8,CONTENEDORES,459848,315027,512005
2018,8,GENERAL,302984,0,85
2018,8,GRANEL LIQUIDO,125583,0,0
2018,8,GRANEL SOLIDO DIFER. DE CARBON,1185029,0,0
2018,9,CARBON AL GRANEL,0,58105,0
2018,9,CONTENEDORES,498285,272406,539408
2018,9,GENERAL,46388,31,0
2018,9,GRANEL LIQUIDO,100542,0,0
2018,9,GRANEL SOLIDO DIFER. DE CARBON,441692,0,0
2018,10,CARBON AL GRANEL,23895,75000,0
2018,10,CONTENEDORES,556049,269398,503834
2018,10,GENERAL,48821,26,0
2018,10,GRANEL LIQUIDO,36099,0,0
2018,10,GRANEL SOLIDO DIFER. DE CARBON,351146,0,0
2018,11,CARBON AL GRANEL,0,46630,0
2018,11,CONTENEDORES,472717,266729,488854
2018,11,GENERAL,76534,556,0
2018,11,GRANEL LIQUIDO,36644,0,0
2018,11,GRANEL SOLIDO DIFER. DE CARBON,460537,0,0
2018,12,CARBON AL GRANEL,95285,76631,0
2018,12,CONTENEDORES,497959,248839,629754
2018,12,GENERAL,73339,132254,0
2018,12,GRANEL LIQUIDO,31303,0,0
2018,12,GRANEL SOLIDO DIFER. DE CARBON,497735,0,0
2019,1,CARBON AL GRANEL,0,0,0
2019,1,CONTENEDORES,495786,226107,525362
2019,1,GENERAL,63199,95214,190
2019,1,GRANEL LIQUIDO,39670,0,0
2019,1,GRANEL SOLIDO DIFER. DE CARBON,615871,0,0
2019,2,CARBON AL GRANEL,43655,52745,0
2019,2,CONTENEDORES,472569,234474,453450
2019,2,GENERAL,56587,130925,0
2019,2,GRANEL LIQUIDO,29339,0,0
2019,2,GRANEL SOLIDO DIFER. DE CARBON,386918,0,0
2019,3,CARBON AL GRANEL,77000,51011,0
2019,3,CONTENEDORES,496241,267400,521574
2019,3,GENERAL,97841,48909,0
2019,3,GRANEL LIQUIDO,47262,0,0
2019,3,GRANEL SOLIDO DIFER. DE CARBON,407560,0,0
2019,4,CARBON AL GRANEL,10793,55207,0
2019,4,CONTENEDORES,973285,95696,109623
2019,4,GENERAL,21132,119000,0
2019,4,GRANEL LIQUIDO,28656,0,0
2019,4,GRANEL SOLIDO DIFER. DE CARBON,295832,0,0
2019,5,CARBON AL GRANEL,0,71730,0
2019,5,CONTENEDORES,488984,228308,419235
2019,5,GENERAL,56283,0,0
2019,5,GRANEL LIQUIDO,29418,0,0
2019,5,GRANEL SOLIDO DIFER. DE CARBON,313000,0,0
2019,6,CARBON AL GRANEL,77000,103059,0
2019,6,CONTENEDORES,930427,112424,230127
2019,6,GENERAL,9918,0,0
2019,6,GRANEL LIQUIDO,48354,0,0
2019,6,GRANEL SOLIDO DIFER. DE CARBON,469160,0,0
2019,7,CARBON AL GRANEL,0,42240,0
2019,7,CONTENEDORES,535136,274318,304269
2019,7,GENERAL,107457,83938,0
2019,7,GRANEL LIQUIDO,66097,0,0
2019,7,GRANEL SOLIDO DIFER. DE CARBON,438415,0,0
