lag,correlacion,n,banda_95,significativa,usable_sin_fuga,par
0,-0.15974867468684312,100,0.196,False,False,cif_usd~trm_cop_usd
1,0.08144431419344196,99,0.19698741179080556,False,True,cif_usd~trm_cop_usd
2,-0.0748484682716968,98,0.1979898987322333,False,True,cif_usd~trm_cop_usd
3,-0.12348661715215623,97,0.19900784836618934,False,True,cif_usd~trm_cop_usd
4,0.014469717548816008,96,0.2000416623272929,False,True,cif_usd~trm_cop_usd
5,0.016855994692437423,95,0.20109175700869023,False,True,cif_usd~trm_cop_usd
6,-0.16101502887866234,94,0.2021585642667235,False,True,cif_usd~trm_cop_usd
0,-0.023131086689659217,100,0.196,False,False,toneladas_totales~trm_cop_usd
1,0.09483413569502493,99,0.19698741179080556,False,True,toneladas_totales~trm_cop_usd
2,0.06066897720348006,98,0.1979898987322333,False,True,toneladas_totales~trm_cop_usd
3,-0.16547445899853053,97,0.19900784836618934,False,True,toneladas_totales~trm_cop_usd
4,0.07082631006651136,96,0.2000416623272929,False,True,toneladas_totales~trm_cop_usd
5,-0.03813356578314057,95,0.20109175700869023,False,True,toneladas_totales~trm_cop_usd
6,0.006325777325554392,94,0.2021585642667235,False,True,toneladas_totales~trm_cop_usd
0,-0.0644243978331921,100,0.196,False,False,toneladas_totales~oni_anomalia
1,-0.019668805850594103,99,0.19698741179080556,False,True,toneladas_totales~oni_anomalia
2,0.014800990315580128,98,0.1979898987322333,False,True,toneladas_totales~oni_anomalia
3,-0.006511219916054787,97,0.19900784836618934,False,True,toneladas_totales~oni_anomalia
4,-0.06958019814755001,96,0.2000416623272929,False,True,toneladas_totales~oni_anomalia
5,-0.04730571635570692,95,0.20109175700869023,False,True,toneladas_totales~oni_anomalia
6,-0.01129397510018711,94,0.2021585642667235,False,True,toneladas_totales~oni_anomalia
