requisito_del_docente,seccion_final,estado,evidencia
Título,Portada,cumple,encabezado presente en el documento
Introducción,1,cumple,encabezado presente en el documento
Descripción de los procesos generales,2,cumple,encabezado presente en el documento
Planteamiento y formulación del problema,3,cumple,encabezado presente en el documento
Objetivos,4,cumple,encabezado presente en el documento
Justificación,5,cumple,encabezado presente en el documento
Alcance del trabajo,6,cumple,encabezado presente en el documento
Delimitación,7,cumple,encabezado presente en el documento
Marco de referencia,8,cumple,encabezado presente en el documento
Metodología,9,cumple,encabezado presente en el documento
Ingeniería del producto de datos,10,cumple,encabezado presente en el documento
Modelo de negocios,13,cumple,encabezado presente en el documento
Estrategias de comunicación,14,cumple,encabezado presente en el documento
Conclusiones,15,cumple,encabezado presente en el documento
Recomendaciones,16,cumple,encabezado presente en el documento
Fuentes de información,17,cumple,encabezado presente en el documento
