modelo,ventana,tipo_ventana,n_cortes,wape_pct,mae,rmse,mape_pct,mase_1,mase_12,sesgo,sesgo_rel_pct,error_maximo,cortes_ganados_vs_naive12_pct,skill_vs_naive12_pct,segundos,objetivo
ridge,24,expansiva,24,6.6126919502298325,122109.13745587367,164841.05744487102,6.483934416076618,0.5658396134678777,0.5400828748711756,11737.906562962686,0.6356539883798814,478517.0476046102,87.5,48.49218935857383,0.032,toneladas_totales
hgb,24,expansiva,24,7.860320848168553,145147.6956919071,205082.04764645087,7.711593093191101,0.6725976264940953,0.6419813160873404,39762.06047425178,2.153272578128336,626872.78006796,79.16666666666666,38.77411485737687,1.042,toneladas_totales
naive_1,24,expansiva,24,9.174493454118902,169415.04166666666,218516.39055867563,9.323735672744661,0.7850496997159809,0.7493146267028366,4696.208333333333,0.254318224577237,583602.0,70.83333333333334,28.537715786180552,0.003,toneladas_totales
drift,24,expansiva,24,9.239462956161107,170614.760316049,220120.97286629575,9.382345458935935,0.7906090571152748,0.7546209249102834,7621.083933172515,0.41271178739696895,585969.972222222,70.83333333333334,28.031653076191255,0.002,toneladas_totales
naive_12,24,expansiva,24,12.838231460203911,237069.16666666666,312953.9861304161,12.603112542074813,1.0985510865662578,1.0485455858937311,140235.58333333334,7.594310568111474,814613.0,0.0,0.0,0.002,toneladas_totales
ridge,36,expansiva,36,7.319436071350268,128253.58848833975,167784.45422803788,7.418969235430431,0.5982848450525,0.5159726462655334,7738.49445348297,0.44163610631383476,478517.0476046102,80.55555555555556,38.0990686753956,0.034,toneladas_totales
hgb,36,expansiva,36,8.484018194303959,148659.78302330012,201885.50471358377,8.590821615989082,0.6934768555011581,0.598068112899358,10807.755327381996,0.6167989147590972,626872.78006796,63.888888888888886,28.25012439716247,1.381,toneladas_totales
naive_1,36,expansiva,36,10.671342498727219,186986.80555555556,250070.65121531155,11.17449152932426,0.8722669931285265,0.7522602526479037,-2906.972222222222,-0.1659009903156123,670152.0,61.111111111111114,9.75178514904541,0.004,toneladas_totales
drift,36,expansiva,36,10.782128093767252,188928.0275265098,252016.83429339068,11.277667504342352,0.8813225189800348,0.7600699166826307,1792.9716236008744,0.10232494335146677,668095.4905660378,61.111111111111114,8.814864402217527,0.004,toneladas_totales
naive_12,36,expansiva,36,11.824436102532331,207191.69444444444,277388.4367135031,11.686212358427674,0.9665199412188707,0.8335458533891952,77465.86111111111,4.420978974529249,814613.0,0.0,0.0,0.003,toneladas_totales
naive_1,24,expansiva,24,8.55267179979776,94313.58333333333,126841.10901997297,8.588521860122512,0.8410916216271714,0.5861719731096283,4532.5,0.41102228928759843,316843.0,79.16666666666666,49.86166985855992,0.002,ton_contenerizada
drift,24,expansiva,24,8.559461168170781,94388.45229531603,127880.68901481615,8.580195620167881,0.8417593054794646,0.5866372940699714,6522.998116268835,0.591527329016549,318112.91666666674,79.16666666666666,49.821868542561056,0.002,ton_contenerizada
ridge,24,expansiva,24,9.449742344860638,104205.92336322517,134013.99391226828,9.394669299887848,0.9293118336407726,0.6476542354630687,15075.30767076479,1.3670794198682046,327970.9064434208,79.16666666666666,44.60277296629431,0.022,ton_contenerizada
hgb,24,expansiva,24,10.81740424048854,119287.65421698912,149513.2347267202,10.781586274523413,1.0638112027921254,0.7413892799816737,12270.30240512451,1.1127121422626367,332867.98923305934,70.83333333333334,36.58512827583852,0.961,ton_contenerizada
naive_12,24,expansiva,24,17.058150472244886,188106.75,235977.108776819,16.447610827550257,1.6775421503956245,1.1691094846119505,126369.16666666667,11.459579520948573,569898.0,0.0,0.0,0.002,ton_contenerizada
ridge,36,expansiva,36,9.17521923371948,93610.51830274425,121075.15800449655,9.128545244153669,0.8087291251008509,0.5495392533154281,16967.067663713693,1.6630242881943529,327970.9064434208,80.55555555555556,44.28490698498438,0.031,ton_contenerizada
drift,36,expansiva,36,9.28698909870074,94750.8545415855,124579.27112135466,9.407031304761071,0.8185808292200005,0.556233581437773,7692.554079536323,0.7539843964833575,318112.91666666674,77.77777777777779,43.606201848346224,0.003,ton_contenerizada
naive_1,36,expansiva,36,9.304251243597216,94926.97222222222,123453.7133003252,9.460665613912585,0.8201023622737487,0.5572674778467187,4095.1388888888887,0.40138435059796534,316843.0,77.77777777777779,43.50138015591066,0.003,ton_contenerizada
hgb,36,expansiva,36,10.326583669388512,105357.35713382388,132410.20995953586,10.29915810204113,0.9102135614954439,0.6184989082462025,1825.499165055814,0.17892599415153476,332867.98923305934,75.0,37.2934253654791,1.387,ton_contenerizada
naive_12,36,expansiva,36,16.468103591331516,168016.44444444444,208798.72657923735,16.07588822213872,1.4515440634423649,0.9863382138971273,91505.61111111111,8.96890710875712,569898.0,0.0,0.0,0.003,ton_contenerizada
