mes,cif_usd,fob_usd,peso_neto_kg,peso_bruto_kg,n_registros,cif_kg
2012-01-01,903578731.81,844140746.92,749297996.43,761762937.26,20717,1.205900370900582
2012-02-01,961026439.93,895316235.29,828969934.71,841558742.5600001,21713,1.1593019236170459
2012-03-01,947091021.51,885529384.06,784204947.07,795922602.43,20364,1.2077085525264613
2012-04-01,913516501.13,855489927.28,649403066.02,661615083.82,20583,1.4067018604157098
2012-05-01,1100253483.6,1027355517.38,832133835.27,845485411.31,23646,1.3222073625248083
2012-06-01,1046155149.13,973646147.93,854424658.26,868019870.12,24070,1.2243971882324314
2012-07-01,1044248850.44,971349816.36,823341109.38,836908905.26,25218,1.268306463194034
2012-08-01,1120812736.09,1043783581.38,862222676.65,877318749.43,27579,1.2999109933465236
2012-09-01,970375778.79,905024689.17,712659960.15,726898262.24,27069,1.3616252252838172
2012-10-01,1031955472.63,965197382.51,715221765.25,730459937.94,29169,1.4428468522197284
2012-11-01,1069550358.15,998362095.59,949598508.19,963564529.34,25790,1.1263184903150663
2012-12-01,929045303.38,867067882.99,710814219.49,724152081.7,23703,1.3070156419304302
2013-01-01,1008129464.59,945798821.56,849687870.45,863606740.45,24530,1.1864703494661968
2013-02-01,902330763.33,842896734.9,745695885.82,758766856.0600001,23408,1.2100519534686145
2013-03-01,840500207.81,790553044.9,588586867.36,599934381.84,21715,1.4279968759410342
2013-04-01,1059222815.78,983929926.1,915051154.58,927866755.33,25526,1.1575558486303132
2013-05-01,1089774213.54,1028902014.56,777654800.42,792210767.46,25818,1.401359848806217
2013-06-01,979689515.62,922655042.47,760885312.11,774189735.43,24689,1.287565287471823
2013-07-01,1066708668.62,1003612320.19,887859259.87,902383870.99,28617,1.2014389181188323
2013-08-01,1098406224.29,1032929261.04,920562573.17,935567010.61,28694,1.1931901820726722
2013-09-01,1007767111.77,946980994.67,838617445.14,853049924.83,28288,1.2017006295424273
2013-10-01,1126678412.53,1061632340.12,891542713.59,908442172.27,33058,1.2637402508660212
2013-11-01,927851465.23,875498835.55,730838054.07,744107307.13,26984,1.2695719114006752
2013-12-01,975050386.58,917579432.67,773516433.76,787980777.12,29807,1.2605425612489705
2014-01-01,1001571824.47,940867160.47,767264708.82,781923651.02,26580,1.3053797639283424
2014-02-01,967939414.67,906588040.46,778561958.8,793238147.64,26803,1.2432400578136236
2014-03-01,1037697595.05,970907871.73,1015584341.55,1029640221.51,26273,1.0217739212739834
2014-04-01,1152617131.58,1081880921.68,1139970953.61,1154180966.23,29407,1.011093421222666
2014-05-01,1336612759.02,1222532586.16,1116641946.28,1132721619.85,31276,1.196993148495643
2014-06-01,1026883161.85,966750007.47,851542249.54,865176978.95,26485,1.2059098211565176
2014-07-01,1310355051.57,1235929776.18,930688766.66,948818942.06,36712,1.4079411920620075
2014-08-01,1146384481.44,1075987276.2,907671708.84,924482402.55,32324,1.2629946160876533
2014-09-01,1163365860.48,1093733586.06,897461281.36,914292949.81,34866,1.2962852934636377
2014-10-01,1292792897.9,1215861880.8,948809739.11,966441872.17,36035,1.3625417663952968
2014-11-01,1116782113.49,1046058085.7,822604403.64,838546538.86,31458,1.3576174751171675
2014-12-01,1052997032.31,984471962.47,743601790.67,759111456.76,33681,1.416076515040703
2015-01-01,1034495637.25,965835499.21,1017868538.45,1031502206.49,27860,1.01633521242863
2015-02-01,997053006.43,936026059.37,811596007.93,828334141.79,30368,1.22850900779196
2015-03-01,1018253601.5,954006672.05,892228984.95,908171450.31,30901,1.141246942966174
2015-04-01,986316894.98,928058177.37,864547972.09,878422762.93,26141,1.1408469244287625
2015-05-01,962042113.29,904688415.59,1048827530.36,1062988985.42,27519,0.9172548254523679
2015-06-01,893874528.65,845987871.56,791405341.83,807957544.33,29831,1.1294775021142214
2015-07-01,1035131227.63,981369462.9,937738618.09,956086495.4,36352,1.1038590153601338
2015-08-01,969598898.97,918797076.84,988817567.42,1006457592.57,33851,0.9805639896749156
2015-09-01,926651390.45,877905640.17,918317833.96,934898950.24,34182,1.009074806327199
2015-10-01,931333443.15,880707887.65,930910184.48,947496216.19,32717,1.0004546718652954
2015-11-01,862356992.78,820129134.99,852536054.33,869802586.38,30039,1.0115196752091828
2015-12-01,830515999.73,787657781.73,831513938.86,847100016.39,31007,0.9987998527945687
2016-01-01,826659229.26,785158140.17,987691544.63,1001369640.44,27894,0.8369609254574266
2016-02-01,784883258.64,743420596.66,883145268.92,897834665.22,27564,0.8887362999745616
2016-03-01,869143227.15,822485795.96,1002858642.22,1019293246.97,29084,0.8666657398753647
2016-04-01,885384810.98,840284169.73,1269413292.82,1283983696.72,25623,0.6974756101798169
2016-05-01,872555446.19,833653072.24,865300389.95,880649671.02,31203,1.0083844365774748
2016-06-01,851174551.54,808590663.78,701645081.22,717995068.54,35251,1.2131126894811297
2016-07-01,848300517.02,800962721.62,766335597.13,782741163.66,33361,1.1069569522764784
2016-08-01,1016524686.17,954993679.12,1011229668.9,1029244454.69,39595,1.0052362162947215
2016-09-01,967376808.69,915689958.72,975653157.19,993814203.84,36437,0.9915171201579085
2016-10-01,887479283.6,837289004.45,938954892.01,957572409.07,34023,0.945177762160856
2016-11-01,929932302.69,878199380.79,979119250.34,996826937.12,36366,0.9497640888656619
2016-12-01,902442162.03,851710181.73,796833162.75,815171312.18,39658,1.1325358986259135
2017-01-01,892316344.08,843416965.04,903126754.75,919004049.6899999,33599,0.9880300183632668
2017-02-01,936546873.45,881033830.82,1090596433.78,1106951561.94,33067,0.8587474197067881
2017-03-01,962533571.41,907296591.52,1114849057.97,1130938106.13,30292,0.8633756870752105
2017-04-01,899930204.51,850981577.3,1070938707.65,1086732410.42,30256,0.8403190566197293
2017-05-01,799523424.9,760157162.87,672119664.11,687616362.04,32791,1.1895551753551268
2017-06-01,977166413.73,921876959.41,950357449.64,969265911.63,44452,1.028209348072302
2017-07-01,863888802.86,816822669.09,762061464.15,778788604.6,42011,1.13362090001963
2017-08-01,953035684.56,897035278.88,882355962.75,899819154.93,39754,1.0801034104078762
2017-09-01,921309597.1,868049268.2,848689989.77,866809340.68,35025,1.085566706577605
2017-10-01,900622269.17,849581668.22,809600032.08,827259978.67,35090,1.1124286480771848
2017-11-01,886125133.26,833457495.52,870477441.39,887968835.28,37846,1.0179759878039039
2017-12-01,834990473.95,787312206.1,701763397.66,717905768.52,36530,1.1898461457725495
2018-01-01,931335898.77,878323584.51,946202492.81,963076766.05,36381,0.9842881474600118
2018-02-01,846594967.27,801454538.28,761944887.02,778866901.01,30830,1.1110973794719854
2018-03-01,898096019.63,846261458.39,935724217.74,952096927.54,32515,0.9597870853434988
2018-04-01,1043429951.84,987028672.1,1096780268.21,1114691765.26,33935,0.9513573339014656
2018-05-01,997314519.85,950004669.15,914365956.19,931658682.44,35056,1.090717029760854
2018-06-01,1056184777.51,1008673621.78,896802469.47,915409960.42,37189,1.1777228692670674
2018-07-01,1067653728.86,1014904863.33,949254485.24,968972435.58,39768,1.1247286638735925
2018-08-01,1170291159.11,1106920883.16,1052599522.44,1073861370.41,41983,1.1118104598766891
2018-09-01,936675328.95,887242606.43,708594357.82,726137270.34,34155,1.3218780514026307
2018-10-01,1223975355.96,1156056431.66,936557708.52,961192030.51,46305,1.30688727968957
2018-11-01,1044385176.75,984056179.54,934453610.62,953589089.56,38396,1.1176426147650729
2018-12-01,923300950.72,869773433.27,766561393.98,785221747.48,38482,1.2044709764552655
2019-01-01,1045976840.8,980204911.94,1130167441.59,1150007637.96,38774,0.9255060819381289
2019-02-01,962048587.2,908238319.26,825004668.82,842773657.88,35807,1.1661129003985071
2019-03-01,976185635.76,920290045.51,907856781.88,926276564.59,33350,1.075263913035384
2019-04-01,1025420669.72,970067305.7,986468902.55,1006024232.3,34913,1.039486056853197
2019-05-01,1050638634.07,993251020.15,931034144.6,950586669.29,38275,1.1284641279417156
2019-06-01,947650432.63,893088209.73,926806817.22,944063642.86,36431,1.0224897087750404
2019-07-01,1099669718.82,1040514019.02,969000409.96,989860813.75,44497,1.1348495908948004
2019-08-01,1194486070.26,1123149156.54,1281114247.46,1301967201.76,44293,0.9323805996446036
2019-09-01,1037885150.6,977433482.96,942459307.97,962177959.77,40574,1.1012519498964273
2019-10-01,1070682684.41,1010479133.46,937868067.98,958994661.25,44448,1.1416133259724461
2019-11-01,1022473559.26,962621644.22,1003773869.06,1022355918.2,38659,1.0186293853390622
2019-12-01,981625840.17,922058070.95,893653186.45,912003871.64,42387,1.0984416047006642
2020-01-01,1134007125.49,1064761239.15,1171049993.88,1190891878.41,42059,0.9683678164180957
2020-02-01,1019173853.37,958308476.79,974683959.11,993348705.42,38098,1.0456454565032798
2020-03-01,770357178.26,723109327.57,764708955.02,779386631.36,27405,1.007386108404932
2020-04-01,867696055.15,809673952.66,1035940118.07,1052897518.62,30960,0.8375928685593856
2020-05-01,784731171.23,734731194.07,1034139925.04,1047778146.32,25169,0.7588249445060803
2020-06-01,693549752.38,654419086.98,775027928.26,787564485.1,22104,0.894870658322049
2020-07-01,922710591.39,875596793.04,783030926.66,800818990.57,35175,1.178383330688866
2020-08-01,1010571733.2,958007996.51,945796642.81,964052857.41,33564,1.0684873338073506
2020-09-01,885711408.42,838074604.51,845465547.21,863148619.11,33640,1.0476020121018645
2020-10-01,979226425.62,916208430.49,883930362.99,902656327.41,37015,1.1078094685056974
2020-11-01,1012227971.17,941598859.0,883890480.9,903062200.39,34718,1.1451961448202537
2020-12-01,1144215880.63,1061163783.37,1008855671.79,1029545253.46,40923,1.1341720254194856
2021-01-01,1023437703.96,941096955.68,850441221.79,866443554.83,34689,1.203419681146075
2021-02-01,1164421631.99,1061598710.22,960118312.48,979461372.96,37344,1.2127897331551583
2021-03-01,1357473376.9,1232388887.77,1201685419.82,1221520788.86,42407,1.1296412143398857
2021-04-01,1236695489.09,1126837759.19,1045641366.83,1063852495.56,32581,1.1827147703989616
2021-05-01,1051123993.22,960431872.97,736746761.21,752078657.27,31354,1.4267100292286061
2021-06-01,1037027463.77,934176671.44,842349808.81,855568237.55,30107,1.2311126006368116
2021-07-01,963554873.44,857820032.48,817095393.45,829820951.61,28027,1.1792440407375302
2021-08-01,1174895412.36,1046178866.02,847625669.28,861654820.87,29509,1.3861017368173774
2021-09-01,1461702213.22,1288858583.46,918984987.25,938605660.99,41189,1.5905615798948407
2021-10-01,1550634187.1,1345893488.47,1145776391.92,1166389594.84,42164,1.3533479988198847
