par,lag,correlacion,n,significativa,usable_sin_fuga
cif_usd~trm_cop_usd,0,-0.1597,100,False,False
cif_usd~trm_cop_usd,1,0.0814,99,False,True
cif_usd~trm_cop_usd,2,-0.0748,98,False,True
cif_usd~trm_cop_usd,3,-0.1235,97,False,True
cif_usd~trm_cop_usd,4,0.0145,96,False,True
cif_usd~trm_cop_usd,5,0.0169,95,False,True
cif_usd~trm_cop_usd,6,-0.161,94,False,True
toneladas_totales~trm_cop_usd,0,-0.0231,100,False,False
toneladas_totales~trm_cop_usd,1,0.0948,99,False,True
toneladas_totales~trm_cop_usd,2,0.0607,98,False,True
toneladas_totales~trm_cop_usd,3,-0.1655,97,False,True
toneladas_totales~trm_cop_usd,4,0.0708,96,False,True
toneladas_totales~trm_cop_usd,5,-0.0381,95,False,True
toneladas_totales~trm_cop_usd,6,0.0063,94,False,True
toneladas_totales~oni_anomalia,0,-0.0644,100,False,False
toneladas_totales~oni_anomalia,1,-0.0197,99,False,True
toneladas_totales~oni_anomalia,2,0.0148,98,False,True
toneladas_totales~oni_anomalia,3,-0.0065,97,False,True
toneladas_totales~oni_anomalia,4,-0.0696,96,False,True
toneladas_totales~oni_anomalia,5,-0.0473,95,False,True
toneladas_totales~oni_anomalia,6,-0.0113,94,False,True
