mes,variable,valor,z_robusto,decision
2018-08,toneladas_totales,2985112.0,4.75,pendiente de investigar
2019-08,toneladas_totales,836056.0,-2.87,pendiente de investigar
2021-06,toneladas_totales,930807.0,-2.54,pendiente de investigar
2018-01,ton_transbordo,789375.0,13.43,pendiente de investigar
2018-02,ton_transbordo,690389.0,11.55,pendiente de investigar
2018-03,ton_transbordo,582161.0,9.49,pendiente de investigar
2018-04,ton_transbordo,697096.0,11.68,pendiente de investigar
2018-05,ton_transbordo,741223.0,12.51,pendiente de investigar
2018-06,ton_transbordo,609889.0,10.02,pendiente de investigar
2018-07,ton_transbordo,522995.0,8.37,pendiente de investigar
2018-08,ton_transbordo,512090.0,8.16,pendiente de investigar
2018-09,ton_transbordo,539408.0,8.68,pendiente de investigar
2018-10,ton_transbordo,503834.0,8.01,pendiente de investigar
2018-11,ton_transbordo,488854.0,7.72,pendiente de investigar
2018-12,ton_transbordo,629754.0,10.4,pendiente de investigar
2019-01,ton_transbordo,525552.0,8.42,pendiente de investigar
2019-02,ton_transbordo,453450.0,7.05,pendiente de investigar
2019-03,ton_transbordo,521574.0,8.34,pendiente de investigar
2019-05,ton_transbordo,419235.0,6.4,pendiente de investigar
2019-07,ton_transbordo,304269.0,4.22,pendiente de investigar
