mes,variable,valor,z_robusto,decision
2021-12,cif_usd,1857235453.09,3.69,pendiente de investigar
2022-03,cif_usd,1925686740.12,4.0,pendiente de investigar
2022-08,cif_usd,1938313091.96,4.06,pendiente de investigar
2022-09,cif_usd,1889318447.29,3.83,pendiente de investigar
2025-07,cif_usd,1948658767.02,4.1,pendiente de investigar
2025-10,cif_usd,1853763856.99,3.67,pendiente de investigar
2025-12,cif_usd,1817763647.51,3.5,pendiente de investigar
2026-01,cif_usd,1847330886.38,3.64,pendiente de investigar
2026-03,cif_usd,1896814526.71,3.87,pendiente de investigar
2026-04,cif_usd,1940605241.99,4.07,pendiente de investigar
2026-05,cif_usd,1980453263.87,4.25,pendiente de investigar
2026-04,peso_neto_kg,1352641712.16,2.81,pendiente de investigar
