mes,ton_contenerizada
2018-01-01,1455020
2018-02-01,1301761
2018-03-01,1184803
2018-04-01,1366861
2018-05-01,1474191
2018-06-01,1325334
2018-07-01,1307065
2018-08-01,1286880
2018-09-01,1310099
2018-10-01,1329281
2018-11-01,1228300
2018-12-01,1376552
2019-01-01,1247255
2019-02-01,1160493
2019-03-01,1285215
2019-04-01,1178604
2019-05-01,1136527
2019-06-01,1272978
2019-07-01,1113723
2019-08-01,533483
2019-09-01,870856
2019-10-01,910499
2019-11-01,730082
2019-12-01,941469
2020-01-01,729544
2020-02-01,780131
2020-03-01,733458
2020-04-01,752888
2020-05-01,688984
2020-06-01,596955
2020-07-01,698970
2020-08-01,780826
2020-09-01,713618
2020-10-01,836436
2020-11-01,856014
2020-12-01,937981
2021-01-01,781537
2021-02-01,921468
2021-03-01,809516
2021-04-01,819421
2021-05-01,725317
2021-06-01,440413
2021-07-01,598626
2021-08-01,730466
2021-09-01,717845
2021-10-01,877021
2021-11-01,792000
2021-12-01,1019130
2022-01-01,810161
2022-02-01,926409
2022-03-01,873582
2022-04-01,682122
2022-05-01,753398
2022-06-01,853795
2022-07-01,891818
2022-08-01,948960
2022-09-01,859665
2022-10-01,821346
2022-11-01,965337
2022-12-01,799279
2023-01-01,726620
2023-02-01,794012
2023-03-01,755488
2023-04-01,747383
2023-05-01,806880
2023-06-01,885287
2023-07-01,801556
2023-08-01,771258
2023-09-01,738917
2023-10-01,899485
2023-11-01,717705
2023-12-01,969116
2024-01-01,859654
2024-02-01,927022
2024-03-01,850579
2024-04-01,923869
2024-05-01,880324
2024-06-01,923932
2024-07-01,874023
2024-08-01,1079315
2024-09-01,1026515
2024-10-01,993178
2024-11-01,1287603
2024-12-01,1350211
2025-01-01,1338689
2025-02-01,1021846
2025-03-01,1018432
2025-04-01,950250
2025-05-01,1135965
2025-06-01,1093414
2025-07-01,1132113
2025-08-01,1186642
2025-09-01,1160746
2025-10-01,1180556
2025-11-01,1079096
2025-12-01,1199450
2026-01-01,1017808
2026-02-01,1078821
2026-03-01,1064391
2026-04-01,1010117
2026-05-01,1153825
2026-06-01,1032712
