mes,ton_importacion,ton_exportacion,ton_transbordo,toneladas_totales,toneladas_comercio_exterior,ton_contenerizada
2018-01-01,1197142,355429,789375,2341946,1552571,1455020
2018-02-01,1088717,294427,690389,2073533,1383144,1301761
2018-03-01,985984,318310,582161,1886455,1304294,1184803
2018-04-01,1142065,308335,697096,2147496,1450400,1366861
2018-05-01,1175350,273943,741223,2190516,1449293,1474191
2018-06-01,932802,297434,609889,1840125,1230236,1325334
2018-07-01,1200848,389702,522995,2113545,1590550,1307065
2018-08-01,2073444,399578,512090,2985112,2473022,1286880
2018-09-01,1086907,330542,539408,1956857,1417449,1310099
2018-10-01,1016010,344424,503834,1864268,1360434,1329281
2018-11-01,1046432,313915,488854,1849201,1360347,1228300
2018-12-01,1195621,457724,629754,2283099,1653345,1376552
2019-01-01,1214526,321321,525552,2061399,1535847,1247255
2019-02-01,989068,418144,453450,1860662,1407212,1160493
2019-03-01,1125904,367320,521574,2014798,1493224,1285215
2019-04-01,1329698,269903,109623,1709224,1599601,1178604
2019-05-01,887685,300038,419235,1606958,1187723,1136527
2019-06-01,1534859,215483,230127,1980469,1750342,1272978
2019-07-01,1147105,400496,304269,1851870,1547601,1113723
2019-08-01,616057,175463,44536,836056,791520,533483
2019-09-01,1334710,540969,90177,1965856,1875679,870856
2019-10-01,1202372,334409,76891,1613672,1536781,910499
2019-11-01,1091483,319413,61947,1472843,1410896,730082
2019-12-01,1394246,308869,72009,1775124,1703115,941469
2020-01-01,972264,279270,38188,1289722,1251534,729544
2020-02-01,1160349,349859,30598,1540806,1510208,780131
2020-03-01,1017110,313558,66456,1397124,1330668,733458
2020-04-01,1132494,280937,62773,1476204,1413431,752888
2020-05-01,1105811,314387,60910,1481108,1420198,688984
2020-06-01,1009292,343754,40383,1393429,1353046,596955
2020-07-01,817693,283400,46988,1148081,1101093,698970
2020-08-01,1000911,377048,42263,1420222,1377959,780826
2020-09-01,969612,446353,45769,1461734,1415965,713618
2020-10-01,991594,459190,44280,1495064,1450784,836436
2020-11-01,1048491,314910,42582,1405983,1363401,856014
2020-12-01,1134782,445301,124211,1704294,1580083,937981
2021-01-01,1053180,284947,110795,1448922,1338127,781537
2021-02-01,1087715,464018,84215,1635948,1551733,921468
2021-03-01,1211728,386224,28975,1626927,1597952,809516
2021-04-01,1204507,268799,52873,1526179,1473306,819421
2021-05-01,1098370,180572,118312,1397254,1278942,725317
2021-06-01,807485,109300,14022,930807,916785,440413
2021-07-01,1060200,299990,24051,1384241,1360190,598626
2021-08-01,994356,418646,23354,1436356,1413002,730466
2021-09-01,1040094,226428,23234,1289756,1266522,717845
2021-10-01,1333771,349843,72705,1756319,1683614,877021
2021-11-01,1195994,367289,49798,1613081,1563283,792000
2021-12-01,1396595,269859,148657,1815111,1666454,1019130
2022-01-01,1268540,269727,59997,1598264,1538267,810161
2022-02-01,1061401,318743,173831,1553975,1380144,926409
2022-03-01,1413896,452303,44539,1910738,1866199,873582
2022-04-01,1180492,279127,30290,1489909,1459619,682122
2022-05-01,1140194,288268,49324,1477786,1428462,753398
2022-06-01,1176689,374550,50295,1601534,1551239,853795
2022-07-01,1217709,321078,98859,1637646,1538787,891818
2022-08-01,1216307,362980,64636,1643923,1579287,948960
2022-09-01,1180728,358520,77984,1617232,1539248,859665
2022-10-01,1100216,390552,61869,1552637,1490768,821346
2022-11-01,1195479,380936,72131,1648546,1576415,965337
2022-12-01,1084302,467088,66045,1617435,1551390,799279
2023-01-01,991683,292148,69787,1353618,1283831,726620
2023-02-01,1083072,399278,61391,1543741,1482350,794012
2023-03-01,1006891,533001,58332,1598224,1539892,755488
2023-04-01,1300529,299514,40555,1640598,1600043,747383
2023-05-01,1159392,290964,82820,1533176,1450356,806880
2023-06-01,1282214,573913,96277,1952404,1856127,885287
2023-07-01,963051,264541,54660,1282252,1227592,801556
2023-08-01,1027789,360760,38679,1427228,1388549,771258
2023-09-01,1112075,429218,37439,1578732,1541293,738917
2023-10-01,1138433,311599,82275,1532307,1450032,899485
2023-11-01,947714,317443,68440,1333597,1265157,717705
2023-12-01,1228658,544832,106005,1879495,1773490,969116
2024-01-01,1053652,222684,140944,1417280,1276336,859654
2024-02-01,1064465,471121,78274,1613860,1535586,927022
2024-03-01,1241212,372453,81059,1694724,1613665,850579
2024-04-01,1123826,395093,111845,1630764,1518919,923869
2024-05-01,1260857,333957,42200,1637014,1594814,880324
2024-06-01,1320882,359773,54389,1735044,1680655,923932
2024-07-01,1054694,372848,69099,1496641,1427542,874023
2024-08-01,1297475,294846,156466,1748787,1592321,1079315
2024-09-01,1192449,467262,156272,1815983,1659711,1026515
2024-10-01,1178698,342970,116720,1638388,1521668,993178
2024-11-01,1480552,452563,149888,2083003,1933115,1287603
2024-12-01,1431272,361941,167711,1960924,1793213,1350211
2025-01-01,1673581,389891,168421,2231893,2063472,1338689
2025-02-01,1261315,271453,115523,1648291,1532768,1021846
2025-03-01,1366233,368753,124397,1859383,1734986,1018432
2025-04-01,1522020,217064,91206,1830290,1739084,950250
2025-05-01,1450749,261491,120164,1832404,1712240,1135965
2025-06-01,1602789,317650,123721,2044160,1920439,1093414
2025-07-01,1317310,389326,109194,1815830,1706636,1132113
2025-08-01,1511781,284705,118021,1914507,1796486,1186642
2025-09-01,1418049,366930,110060,1895039,1784979,1160746
2025-10-01,1432515,344443,108865,1885823,1776958,1180556
2025-11-01,1352210,353601,98331,1804142,1705811,1079096
2025-12-01,1457358,448958,72584,1978900,1906316,1199450
2026-01-01,1299292,284160,75008,1658460,1583452,1017808
2026-02-01,1430220,348706,85368,1864294,1778926,1078821
2026-03-01,1491335,323741,98735,1913811,1815076,1064391
2026-04-01,1352491,367505,82304,1802300,1719996,1010117
2026-05-01,1389624,285718,71750,1747092,1675342,1153825
2026-06-01,1455282,339455,53016,1847753,1794737,1032712
